,name,hp,hplvl,hpregen,hpregenlvl,mana,manalvl,manaregen,manaregenlvl,armor,armorlvl,magicres,mrlvl,attackdamage,adlvl,baseattackspeed,attackspdlvl,attackrange,movespeed,pricefree,pricepaid,difficulty,meleerange,rangedrange,manaresource,support,gender
0,Aatrox,0.7399604519898698,0.6508466396189325,-1.707209960145937,-1.0276854103267963,-2.54335610145829,-1.8453393926580706,-1.030245569520909,-1.928187729430743,1.4524119790035666,1.4524119790035666,0.7523161699711712,0.7838498635822635,0.19762363440090527,2.639223806052594,-0.08401702469083502,0.023848079425438713,-0.7979112750889797,1.2209266767878695,0.9820836632519835,0.791349863152405,0.15681607269011336,1,0,0,0,0
1,Ahri,-0.7203741107149355,-0.19007906447586526,-1.9680765815425583,-0.36352160785938303,0.8529457022735207,-0.5718080411421693,-0.016606585427273807,0.7565803552143292,-1.4514012538963963,-1.4514012538963963,-0.45855461788719043,-0.9058265005172611,-1.052583635632632,-0.2034586920761266,0.3968214453027196,-0.3386999346284575,1.1376916745287844,-0.7733060072696378,0.00732684344385089,0.380760355441401,0.15681607269011336,0,1,1,0,1
2,Akali,-0.47698501693080125,1.239494632485291,1.4231894966135206,1.6289697995428571,-0.9183313149837393,-1.8453393926580706,5.304998081064311,-1.928187729430743,-1.1097761676728712,-1.1097761676728712,3.7794931396170757,0.7838498635822635,0.5548257115533445,0.2229436826431812,-0.8194170376221539,0.8697934455511972,-1.0559916683713482,1.2209266767878695,0.00732684344385089,0.380760355441401,1.5516537718811227,1,0,0,0,1
3,Akshan,0.25318226442160136,0.7349392100284122,-1.3159100280510048,-0.03143970662567609,0.30043727487217353,0.1923107697673715,0.008734389175066984,0.4209843446336949,-0.5973385383375838,-0.5973385383375838,-0.45855461788719043,-0.9058265005172611,-1.2311846742088517,-0.2034586920761266,-0.4517170311564945,1.8365881496949206,0.8796112812464157,-0.7733060072696378,0.9820836632519835,0.791349863152405,1.5516537718811227,0,1,1,0,0
4,Alistar,1.5918222802343396,1.1554020620758112,1.162322875216899,1.2968878983091503,0.30043727487217353,0.1923107697673715,0.0467458510785784,0.7565803552143292,1.7940370652270916,1.7940370652270916,0.7523161699711712,0.7838498635822635,0.5548257115533445,0.8625472447221436,-0.8194170376221539,-0.4293369381419318,-1.0559916683713482,-0.7733060072696378,-1.0560442327104755,-0.5544713010114413,-1.238021626500896,1,0,1,1,0
5,Ambessa,0.25318226442160136,0.31447635798101337,1.162322875216899,0.632724095841737,-0.9183313149837393,-1.8453393926580706,-0.016606585427273807,0.7565803552143292,0.939974349668279,0.939974349668279,0.7523161699711712,0.7838498635822635,0.7334267501295642,-0.2034586920761266,-0.8194170376221539,0.023848079425438713,-1.0559916683713482,-0.1085617792504687,1.868226226713922,1.2247498990695758,1.5516537718811227,1,0,0,0,1
6,Amumu,1.5918222802343396,-1.0310047685706631,1.4231894966135206,1.2968878983091503,-0.22769578073205538,0.1923107697673715,-0.0926295092342964,-0.08240967123725584,0.5983492634447539,0.5983492634447539,0.7523161699711712,0.7838498635822635,-0.33817948132775355,0.9336143071753613,2.320175325276935,-0.36286980223205056,-1.0559916683713482,-0.1085617792504687,-1.5877297707876388,-2.0371556344122888,-1.238021626500896,1,0,1,1,0
7,Anivia,-1.6939304858514723,-1.1991899093896226,-0.4028768531628296,-0.6956035090930893,1.4785802450662227,0.44701704007055176,-0.016606585427273807,0.7565803552143292,-1.4514012538963963,-1.4514012538963963,-0.45855461788719043,-0.9058265005172611,-1.4097857127850713,0.0808095577367457,0.1139752864829816,-0.9671164923218781,1.395772067811153,-1.438050235288807,0.00732684344385089,0.380760355441401,0.15681607269011336,0,1,1,1,1
8,Annie,-1.450541392067338,-1.7037453318465012,-0.4028768531628296,-0.6956035090930893,0.8529457022735207,-0.5718080411421693,-0.016606585427273807,0.7565803552143292,-1.1097761676728712,-1.1097761676728712,-0.45855461788719043,-0.9058265005172611,-1.5883867513612908,-0.7009281292486528,-1.243686275851761,-1.3538343739793675,1.5248122644523372,-0.1085617792504687,-1.5877297707876388,-2.0371556344122888,-1.238021626500896,0,1,1,1,1
9,Aphelios,-0.47698501693080125,-0.35826420529482483,-1.576776649447626,-0.6956035090930893,0.28418702700742804,0.2941932778886436,-0.20666389494483042,-0.585803687108207,-0.5973385383375838,-0.5973385383375838,-0.45855461788719043,-0.9058265005172611,-0.6953815584801928,-1.198397566421179,0.3119675976567982,-0.45954927264642303,1.1376916745287844,-1.438050235288807,0.9820836632519835,0.791349863152405,1.5516537718811227,0,1,1,0,0
10,Ashe,-0.23359592314666705,-0.4423567757043046,-1.4463433387493154,-0.6956035090930893,-0.2683214003939191,-0.062395500535808786,-0.14331145843897822,0.2531863393433781,-0.5973385383375838,-0.5973385383375838,-0.45855461788719043,-0.9058265005172611,0.019022595824685653,-0.27452575452934436,0.1139752864829816,1.026897584974552,1.395772067811153,-1.438050235288807,-1.5877297707876388,-2.0371556344122888,-1.238021626500896,0,1,1,1,1
